name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-19989,YES,0,3716,3207,4584,1735,1511,1660
GENE-1,NO,1,27645,17971,17393,18721,20786,29767
GENE-2,NO,1,0,0,0,0,0,0
GENE-3,NO,1,0,0,0,0,0,0
GENE-4,NO,1,0,0,0,0,0,0
GENE-5,NO,1,0,0,0,0,0,0
GENE-7,NO,1,2,1,0,1,1,0
GENE-8,NO,1,168,203,260,117,99,133
GENE-9,NO,1,0,0,0,0,0,0
GENE-10,NO,1,0,0,0,0,0,0
GENE-11,NO,1,0,0,0,0,0,0
GENE-12,NO,1,5156,3273,3961,2726,4776,3747
GENE-13,NO,1,0,0,0,0,0,0
GENE-14,NO,1,0,0,0,0,0,0
GENE-15,NO,1,41,43,66,48,52,50
GENE-16,NO,1,0,0,0,0,0,0
GENE-17,NO,1,0,0,0,0,0,0
GENE-18,NO,1,0,2,0,0,0,0
GENE-19,NO,1,0,0,0,0,0,0
GENE-20,NO,1,0,0,0,0,0,0
GENE-21,NO,1,1012,773,985,845,758,993
GENE-22,NO,1,121,122,120,103,107,134
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,NO,1,2,0,1,0,2,1
GENE-25,NO,1,0,0,0,0,0,0
GENE-26,NO,1,0,0,0,0,0,0
GENE-27,NO,1,45,53,34,42,38,39
GENE-28,NO,1,0,0,0,0,0,0
GENE-29,NO,1,0,0,0,0,0,0
GENE-30,NO,1,539,1080,414,550,1049,546
GENE-31,NO,1,0,0,0,0,0,0
GENE-32,NO,1,0,0,0,0,0,0
GENE-33,NO,1,0,0,0,0,0,0
GENE-34,NO,1,0,0,0,0,0,0
GENE-35,NO,1,336,616,271,335,432,437
GENE-36,NO,1,0,0,0,0,0,0
GENE-37,NO,1,23,13,20,28,30,10
GENE-38,NO,1,22,26,9,12,13,23
GENE-39,NO,1,0,0,0,0,0,0
GENE-40,NO,1,0,0,0,0,0,0
GENE-41,NO,1,0,0,0,0,0,0
GENE-42,NO,1,0,0,0,0,0,0
GENE-43,NO,1,0,0,0,0,0,0
GENE-44,NO,1,0,0,0,0,0,0
GENE-45,NO,1,2209,2256,2357,2400,2418,2392
GENE-46,NO,1,0,0,0,0,0,0
GENE-47,NO,1,47,77,63,80,88,40
GENE-48,YES,1,0,0,0,0,0,0
GENE-49,NO,1,0,0,0,0,0,0
GENE-50,NO,1,0,0,0,0,0,0
GENE-51,NO,1,0,0,0,0,0,0
GENE-52,NO,1,872,653,772,572,580,757
GENE-53,NO,1,0,0,0,0,0,0
GENE-54,NO,1,0,0,0,0,0,0
GENE-55,NO,1,0,0,0,0,0,0
GENE-56,NO,1,1,0,3,0,0,0
GENE-57,NO,1,0,0,0,0,0,0
GENE-58,NO,1,0,0,0,0,0,0
GENE-59,NO,1,108,78,100,103,104,82
GENE-60,NO,1,0,0,0,0,0,0
GENE-61,YES,1,0,0,0,0,0,0
GENE-62,NO,1,0,0,0,0,0,0
GENE-63,NO,1,15,15,13,9,11,3
GENE-64,NO,1,0,0,0,0,0,0
GENE-65,NO,1,0,0,0,0,0,0
GENE-66,NO,1,0,0,0,0,0,0
GENE-67,NO,1,386,732,989,688,708,590
GENE-68,NO,1,0,0,0,0,0,0
GENE-69,NO,1,104,68,102,73,86,89
GENE-70,NO,1,0,0,0,0,0,0
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,0,0,0,0,0,0
GENE-73,NO,1,54,37,38,41,38,63
GENE-74,NO,1,0,0,0,0,0,0
GENE-75,NO,1,66,46,46,46,55,64
GENE-76,NO,1,0,0,0,0,0,0
GENE-77,NO,1,4,4,5,3,5,7
GENE-78,NO,1,0,0,0,0,0,0
GENE-79,NO,1,0,0,0,0,0,0
GENE-80,NO,1,0,0,0,0,0,0
GENE-81,NO,1,0,0,0,0,0,0
GENE-82,NO,1,0,0,0,0,0,0
GENE-83,NO,1,0,0,0,0,0,0
GENE-84,NO,1,0,0,0,0,0,0
GENE-85,NO,1,0,0,0,0,0,0
GENE-86,NO,1,0,0,0,0,0,0
GENE-87,NO,1,149,140,130,129,125,144
GENE-88,NO,1,25,27,5,37,31,20
GENE-89,NO,1,493,764,744,610,708,484
GENE-90,NO,1,0,0,0,0,0,0
GENE-91,NO,1,0,0,0,0,0,0
GENE-92,NO,1,0,0,0,0,0,0
GENE-93,NO,1,0,0,0,0,0,0
GENE-94,NO,1,0,0,0,0,0,0
GENE-95,NO,1,0,0,0,0,0,0
GENE-96,NO,1,0,0,0,0,0,0
GENE-97,NO,1,21,18,19,17,20,20
GENE-98,NO,1,0,0,0,0,0,0
GENE-99,NO,1,807,959,946,1201,855,846
GENE-100,NO,1,28,26,16,23,32,20
GENE-101,NO,1,0,0,0,0,0,0
GENE-102,YES,1,1,2,4,0,0,1
GENE-103,NO,1,2,3,1,2,0,4
GENE-104,YES,1,0,0,0,0,0,0
GENE-105,NO,1,0,0,0,0,0,0
GENE-106,NO,1,0,0,0,0,0,0
GENE-107,NO,1,0,0,0,0,0,0
GENE-108,NO,1,1,4,0,0,2,3
GENE-109,NO,1,0,0,0,0,0,0
GENE-110,NO,1,0,0,0,0,0,0
GENE-111,NO,1,0,0,0,0,0,0
GENE-112,NO,1,0,0,0,0,0,0
GENE-113,NO,1,0,0,0,0,0,0
GENE-114,NO,1,0,0,0,0,0,0
GENE-115,NO,1,1,2,0,0,0,3
GENE-116,NO,1,4,5,4,4,3,2
GENE-117,NO,1,0,0,0,0,0,0
GENE-118,NO,1,352,287,449,373,293,398
GENE-119,NO,1,328,274,216,294,266,288
GENE-120,NO,1,0,0,0,0,0,0
GENE-121,NO,1,623,502,642,686,488,558
GENE-122,NO,1,0,0,0,0,0,0
GENE-123,NO,1,39,45,30,36,17,20
GENE-124,NO,1,0,0,0,0,0,0
GENE-125,NO,1,0,0,0,0,0,0
GENE-126,NO,1,0,0,0,0,0,0
GENE-127,NO,1,0,0,0,0,0,0
GENE-128,NO,1,0,0,0,0,0,0
GENE-129,NO,1,0,0,0,0,0,0
GENE-130,NO,1,0,0,0,0,0,0
GENE-131,NO,1,132,135,126,147,134,137
GENE-132,NO,1,0,0,0,0,0,0
GENE-133,NO,1,0,0,0,0,0,0
GENE-134,NO,1,0,0,0,0,0,0
GENE-135,NO,1,0,0,0,0,0,0
GENE-136,NO,1,0,0,0,0,0,0
GENE-137,NO,1,0,0,0,0,0,0
GENE-138,NO,1,4,5,3,2,2,0
GENE-139,NO,1,0,0,0,0,0,0
GENE-140,NO,1,0,0,0,0,0,0
GENE-141,NO,1,71,58,76,45,45,68
GENE-142,NO,1,0,0,0,0,0,0
GENE-143,NO,1,4,2,5,5,7,6
GENE-144,NO,1,543,356,411,411,416,471
GENE-145,YES,1,0,1,1,1,0,0
GENE-146,NO,1,0,1,0,0,1,0
GENE-147,NO,1,0,0,0,0,0,0
GENE-148,NO,1,0,0,0,0,0,0
GENE-149,NO,1,0,0,0,0,0,0
GENE-150,NO,1,0,0,0,0,0,0
GENE-151,NO,1,0,0,0,0,0,0
GENE-152,NO,1,2,1,1,1,0,1
GENE-153,NO,1,0,0,0,0,0,0
GENE-155,NO,1,20,22,20,26,34,20
GENE-156,NO,1,0,0,0,0,0,0
GENE-157,NO,1,0,0,0,0,0,0
GENE-158,NO,1,3370,2039,1656,2807,2746,1658
GENE-159,NO,1,0,0,0,0,0,0
GENE-160,NO,1,8623,10132,7680,7776,9201,8439
GENE-161,NO,1,0,0,0,0,0,0
GENE-162,NO,1,0,1,0,0,1,0
GENE-163,NO,1,0,0,0,0,0,0
GENE-164,NO,1,0,0,0,0,0,0
GENE-165,NO,1,20,19,23,28,12,35
GENE-166,NO,1,0,0,0,0,0,0
GENE-167,NO,1,0,0,0,0,0,0
GENE-168,NO,1,0,0,0,0,0,0
GENE-169,NO,1,0,0,0,0,0,0
GENE-170,NO,1,0,0,0,0,0,0
GENE-171,NO,1,0,0,0,0,0,0
GENE-172,NO,1,0,0,0,0,0,0
GENE-173,NO,1,0,0,0,0,0,0
GENE-174,NO,1,0,0,0,0,0,0
GENE-175,NO,1,0,0,0,0,0,0
GENE-176,NO,1,0,0,0,0,0,0
GENE-178,NO,1,15,6,6,9,6,8
GENE-179,NO,1,399,414,278,344,352,354
GENE-180,NO,1,108,69,109,123,104,100
GENE-181,NO,1,0,0,0,0,0,0
GENE-182,NO,1,0,0,0,0,0,0
GENE-183,NO,1,0,0,0,0,0,0
GENE-184,NO,1,1,2,3,2,0,1
GENE-185,NO,1,0,0,0,0,0,0
GENE-186,NO,1,0,0,0,0,0,0
GENE-187,NO,1,0,0,0,0,0,0
GENE-188,NO,1,0,0,0,0,0,0
GENE-189,NO,1,0,0,0,0,0,0
GENE-190,NO,1,0,0,0,0,0,0
GENE-191,NO,1,7,5,5,3,6,4
GENE-192,NO,1,0,0,0,0,0,0
GENE-193,NO,1,1,0,0,0,0,0
GENE-194,NO,1,0,0,0,0,0,0
GENE-195,NO,1,0,0,0,0,0,0
GENE-196,NO,1,0,0,0,0,0,0
GENE-197,NO,1,0,0,0,0,0,0
GENE-198,NO,1,10,8,8,11,8,14
GENE-199,NO,1,0,0,0,0,0,0
GENE-200,NO,1,0,0,0,0,0,0
GENE-201,NO,1,7,7,7,6,10,14
GENE-202,NO,1,8,10,13,10,10,17
GENE-203,NO,1,1,0,4,0,2,1
GENE-204,NO,1,0,0,0,0,0,0
GENE-205,NO,1,0,0,0,0,0,0
GENE-206,NO,1,0,0,0,0,0,0
GENE-207,NO,1,73,56,74,76,65,118
GENE-208,NO,1,0,0,0,0,0,0
GENE-209,NO,1,0,0,0,0,0,0
GENE-210,NO,1,0,0,0,0,0,0
GENE-211,NO,1,0,0,0,0,0,0
GENE-212,NO,1,242,226,212,148,217,250
GENE-213,NO,1,61,85,116,101,86,61
GENE-214,NO,1,0,0,0,0,0,0
GENE-215,NO,1,0,0,0,0,0,0
GENE-216,NO,1,0,0,0,0,0,0
GENE-217,NO,1,0,0,0,0,0,0
GENE-218,NO,1,0,0,0,0,0,0
GENE-219,NO,1,0,0,0,0,0,0
GENE-220,YES,1,0,0,0,0,0,0
GENE-221,NO,1,0,0,0,0,0,0
GENE-222,NO,1,421,421,361,373,436,356
GENE-223,NO,1,0,0,0,0,0,0
GENE-224,NO,1,0,0,0,0,0,0
GENE-225,NO,1,0,0,0,0,0,0
GENE-226,NO,1,0,0,0,0,0,0
GENE-227,NO,1,0,0,0,0,0,0
GENE-228,NO,1,0,0,0,0,0,0
GENE-229,NO,1,0,0,0,0,0,0
GENE-230,NO,1,0,0,0,0,0,0
GENE-231,NO,1,30,25,49,25,41,17
GENE-232,NO,1,77,59,57,39,38,62
GENE-233,NO,1,0,0,0,0,0,0
GENE-234,NO,1,0,0,0,0,0,0
GENE-235,NO,1,0,0,0,0,0,0
GENE-236,NO,1,4,3,2,3,1,2
GENE-237,NO,1,0,0,0,0,0,0
GENE-239,NO,1,0,0,0,0,0,0
GENE-240,YES,1,0,0,0,0,0,0
GENE-241,NO,1,0,0,0,0,0,0
GENE-242,NO,1,0,0,0,0,0,0
GENE-243,NO,1,0,0,0,0,0,0
GENE-244,NO,1,0,0,0,0,0,0
GENE-245,NO,1,0,0,0,0,0,0
GENE-246,NO,1,0,0,0,0,0,0
GENE-247,NO,1,0,0,0,0,0,0
GENE-248,NO,1,842,869,726,770,762,1204
GENE-249,NO,1,0,0,0,0,0,0
GENE-250,NO,1,380,462,544,788,771,434
GENE-251,YES,1,0,0,0,0,0,0
GENE-252,NO,1,0,0,0,0,0,0
GENE-253,NO,1,0,0,0,0,0,0
GENE-254,NO,1,0,0,0,0,0,0
GENE-255,NO,1,0,0,0,0,0,0
GENE-256,NO,1,0,0,0,0,0,0
GENE-257,NO,1,0,0,0,0,0,0
GENE-258,NO,1,164,182,245,174,222,158
GENE-259,NO,1,0,0,0,0,0,0
GENE-260,NO,1,0,0,0,0,0,0
GENE-261,NO,1,1,0,1,3,0,0
GENE-262,NO,1,0,0,0,0,0,0
GENE-263,NO,1,166,168,180,109,145,156
GENE-264,NO,1,22,21,35,34,25,27
GENE-265,NO,1,0,0,0,0,0,0
GENE-266,YES,1,0,0,0,0,0,0
GENE-268,NO,1,0,0,0,0,0,0
GENE-269,NO,1,0,0,0,0,0,0
GENE-270,NO,1,0,0,0,0,0,0
GENE-271,NO,1,0,0,0,0,0,0
GENE-272,NO,1,1369,1620,2163,1780,1613,2222
GENE-273,NO,1,0,0,0,0,0,0
GENE-274,NO,1,0,0,0,0,0,0
GENE-275,NO,1,0,0,0,0,0,0
GENE-276,NO,1,0,0,0,0,0,0
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,0,0,0,0,0,0
GENE-279,YES,1,6,6,7,3,2,2
GENE-280,NO,1,0,0,0,0,0,0
GENE-281,NO,1,33,28,30,46,11,18
GENE-282,NO,1,204,222,193,256,208,283
GENE-283,NO,1,457,358,462,445,406,468
GENE-284,NO,1,0,0,0,0,0,0
GENE-285,NO,1,0,0,0,0,0,0
GENE-286,YES,1,0,0,0,0,0,0
GENE-287,NO,1,0,0,0,0,0,0
GENE-288,NO,1,0,0,0,0,0,0
GENE-289,NO,1,0,0,0,0,0,0
GENE-290,NO,1,0,0,0,0,0,0
GENE-291,NO,1,0,4,1,0,3,3
GENE-292,NO,1,0,0,0,0,0,0
GENE-293,NO,1,0,0,0,0,0,0
GENE-294,NO,1,26,26,25,18,14,21
GENE-295,NO,1,121,135,170,100,129,144
GENE-296,NO,1,162,144,174,145,161,174
GENE-297,NO,1,0,0,0,0,0,0
GENE-298,NO,1,0,0,0,0,0,0
GENE-299,NO,1,6,5,5,8,5,4
GENE-300,NO,1,0,0,0,0,0,0
GENE-301,NO,1,0,0,0,0,0,0
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,53,38,58,71,89,64
GENE-304,NO,1,0,0,0,0,0,0
GENE-305,NO,1,0,0,0,0,0,0
GENE-306,NO,1,0,0,1,0,2,1
GENE-307,NO,1,65,69,75,85,89,65
GENE-308,NO,1,0,0,0,0,0,0
GENE-309,NO,1,0,0,0,0,0,0
GENE-310,YES,1,0,1,1,0,1,3
GENE-311,NO,1,2324,2132,2229,2143,2349,2438
GENE-312,NO,1,0,0,0,0,0,0
GENE-313,NO,1,0,0,0,0,0,0
GENE-314,NO,1,0,0,0,0,0,0
GENE-315,NO,1,0,0,0,0,0,0
GENE-317,NO,1,173,767,667,262,724,849
GENE-318,NO,1,2,3,0,3,4,0
GENE-319,NO,1,0,0,0,0,0,0
GENE-320,NO,1,0,0,0,0,0,0
GENE-321,NO,1,0,0,0,0,0,0
GENE-322,NO,1,0,0,0,0,0,0
GENE-323,NO,1,87,79,77,63,67,79
GENE-324,NO,1,20,23,17,27,29,29
GENE-325,NO,1,0,0,0,0,0,0
GENE-326,NO,1,1,1,1,4,2,4
GENE-327,NO,1,0,0,0,0,0,0
GENE-328,NO,1,1,52,0,0,0,14
GENE-329,NO,1,0,0,0,0,0,0
GENE-330,YES,1,0,0,0,0,0,0
GENE-331,NO,1,714,795,685,702,827,634
GENE-332,NO,1,1,2,1,0,0,0
GENE-333,NO,1,0,0,0,0,0,0
GENE-334,NO,1,0,0,0,0,0,0
GENE-335,NO,1,0,0,0,0,0,0
GENE-336,NO,1,0,0,0,0,0,0
GENE-337,NO,1,0,0,0,0,0,0
