# Program:featureCounts v1.5.3; Command:"featureCounts" "-a" "refs/agrobacterium_tumefaciens.gff" "-t" "gene" "-g" "ID" "-o" "matrix.txt" "WT_55_3.bam" "WT_67_1.bam" "WT_79_1.bam" "pssA_55_2.bam" "pssA_67_1.bam" "pssA_79_2.bam" 
Geneid	Chr	Start	End	Strand	Length	WT_55_3.bam	WT_67_1.bam	WT_79_1.bam	pssA_55_2.bam	pssA_67_1.bam	pssA_79_2.bam
gene-G6L97_RS00270	NZ_CP115841.1	54472	55185	-	714	0	0	0	0	0	0
gene-G6L97_RS00275	NZ_CP115841.1	55292	56209	+	918	0	0	0	0	0	0
gene-G6L97_RS00280	NZ_CP115841.1	56258	57142	-	885	0	0	0	0	0	0
gene-G6L97_RS00285	NZ_CP115841.1	57503	57880	+	378	0	0	0	0	0	0
gene-G6L97_RS00290	NZ_CP115841.1	57894	58547	-	654	0	0	0	0	0	0
gene-G6L97_RS00295	NZ_CP115841.1	58544	60343	-	1800	89	125	43	98	46	34
gene-G6L97_RS00300	NZ_CP115841.1	60343	60726	-	384	0	0	0	0	0	0
gene-G6L97_RS00305	NZ_CP115841.1	60763	60900	-	138	0	0	0	0	0	0
gene-G6L97_RS00310	NZ_CP115841.1	61249	63276	+	2028	0	0	0	0	0	0
gene-G6L97_RS00315	NZ_CP115841.1	63532	64950	+	1419	0	0	0	0	0	0
gene-G6L97_RS00320	NZ_CP115841.1	65168	65244	+	77	0	0	0	0	1	0
gene-G6L97_RS00325	NZ_CP115841.1	65419	66231	+	813	0	0	0	0	0	0
gene-G6L97_RS00330	NZ_CP115841.1	66449	67594	+	1146	0	0	0	0	0	0
gene-G6L97_RS00335	NZ_CP115841.1	67591	68517	+	927	0	0	0	0	0	0
gene-G6L97_RS00340	NZ_CP115841.1	68517	69338	+	822	0	0	0	0	0	0
gene-G6L97_RS00345	NZ_CP115841.1	69381	70673	+	1293	0	0	0	0	0	0
gene-G6L97_RS00350	NZ_CP115841.1	70739	71539	+	801	0	0	0	0	0	0
gene-G6L97_RS00355	NZ_CP115841.1	71817	73313	+	1497	0	0	0	0	0	0
gene-G6L97_RS00360	NZ_CP115841.1	73503	74825	+	1323	0	0	0	0	0	0
gene-G6L97_RS00365	NZ_CP115841.1	74954	75991	+	1038	0	0	0	0	0	0
gene-G6L97_RS00370	NZ_CP115841.1	76105	77142	+	1038	0	0	0	0	0	0
gene-G6L97_RS00375	NZ_CP115841.1	77208	77906	+	699	0	0	0	0	0	0
gene-G6L97_RS00380	NZ_CP115841.1	78004	78930	+	927	0	2	0	0	0	0
gene-G6L97_RS00385	NZ_CP115841.1	79055	80020	+	966	0	0	0	0	0	0
gene-G6L97_RS00390	NZ_CP115841.1	80017	80745	+	729	0	0	0	0	0	0
gene-G6L97_RS00395	NZ_CP115841.1	80762	81631	-	870	0	0	0	0	0	0
gene-G6L97_RS00400	NZ_CP115841.1	81722	83347	-	1626	0	0	0	0	0	0
gene-G6L97_RS00405	NZ_CP115841.1	83475	85187	-	1713	0	0	0	0	0	0
gene-G6L97_RS00410	NZ_CP115841.1	85540	86589	+	1050	0	0	0	0	0	0
gene-G6L97_RS00415	NZ_CP115841.1	86743	87759	+	1017	0	0	0	0	0	0
gene-G6L97_RS00420	NZ_CP115841.1	87832	89508	+	1677	0	0	0	0	0	0
gene-G6L97_RS00425	NZ_CP115841.1	89699	91870	+	2172	0	0	0	0	0	0
gene-G6L97_RS00430	NZ_CP115841.1	91973	92854	+	882	0	0	0	0	0	0
gene-G6L97_RS00435	NZ_CP115841.1	92981	93373	+	393	0	0	0	0	0	0
gene-G6L97_RS00440	NZ_CP115841.1	93440	93682	-	243	0	0	0	0	0	0
gene-G6L97_RS00445	NZ_CP115841.1	94010	94168	-	159	0	0	0	0	0	0
gene-G6L97_RS00450	NZ_CP115841.1	94336	94411	-	76	0	0	0	0	2	0
gene-G6L97_RS00455	NZ_CP115841.1	94549	95511	-	963	0	0	0	0	0	0
gene-G6L97_RS00460	NZ_CP115841.1	95767	96912	+	1146	0	0	0	0	0	0
gene-G6L97_RS00465	NZ_CP115841.1	96974	97855	-	882	0	0	0	0	0	0
gene-G6L97_RS00470	NZ_CP115841.1	98096	99355	+	1260	0	0	0	0	0	0
gene-G6L97_RS00475	NZ_CP115841.1	99551	100585	+	1035	36	47	25	27	23	22
gene-G6L97_RS00480	NZ_CP115841.1	100860	102344	+	1485	5	3	3	1	2	1
gene-G6L97_RS00485	NZ_CP115841.1	102341	103663	+	1323	0	0	0	0	0	1
gene-G6L97_RS00490	NZ_CP115841.1	103678	104493	+	816	14	15	24	15	24	16
gene-G6L97_RS00495	NZ_CP115841.1	104592	105317	+	726	0	0	0	0	0	0
gene-G6L97_RS00500	NZ_CP115841.1	105349	106032	+	684	0	0	0	0	0	2
gene-G6L97_RS00505	NZ_CP115841.1	106331	106864	-	534	0	0	0	0	0	0
gene-G6L97_RS00510	NZ_CP115841.1	107295	108497	+	1203	0	0	0	0	0	0
gene-G6L97_RS00515	NZ_CP115841.1	108552	109469	+	918	0	0	0	0	0	0
gene-G6L97_RS00520	NZ_CP115841.1	109693	110682	+	990	0	0	0	0	0	0
gene-G6L97_RS00525	NZ_CP115841.1	110721	111113	-	393	0	0	0	0	0	0
gene-G6L97_RS00530	NZ_CP115841.1	111349	112533	-	1185	6	17	7	17	11	9
gene-G6L97_RS00535	NZ_CP115841.1	112728	113825	+	1098	0	0	0	0	0	0
gene-G6L97_RS00540	NZ_CP115841.1	113882	113955	+	74	0	0	0	0	0	0
gene-G6L97_RS00545	NZ_CP115841.1	114110	114796	+	687	0	0	0	0	0	0
gene-G6L97_RS00550	NZ_CP115841.1	114887	115180	+	294	0	0	0	0	0	0
gene-G6L97_RS00555	NZ_CP115841.1	115316	117253	-	1938	0	0	0	0	0	0
gene-G6L97_RS00560	NZ_CP115841.1	117424	118185	+	762	0	0	0	0	0	0
gene-G6L97_RS00565	NZ_CP115841.1	118226	119452	-	1227	0	0	0	0	0	0
gene-G6L97_RS00570	NZ_CP115841.1	119803	121098	+	1296	0	0	0	0	0	0
gene-G6L97_RS00575	NZ_CP115841.1	121126	121878	+	753	0	0	0	0	0	0
gene-G6L97_RS00580	NZ_CP115841.1	121953	122603	-	651	0	0	0	0	0	0
gene-G6L97_RS00585	NZ_CP115841.1	122715	123365	-	651	0	0	0	0	0	0
gene-G6L97_RS00590	NZ_CP115841.1	123610	123963	+	354	0	0	0	0	0	0
gene-G6L97_RS00595	NZ_CP115841.1	123963	125054	+	1092	0	0	0	0	0	0
gene-G6L97_RS00600	NZ_CP115841.1	125179	125676	-	498	0	0	0	0	0	0
gene-G6L97_RS00605	NZ_CP115841.1	125678	125944	-	267	1	0	9	4	1	2
gene-G6L97_RS00610	NZ_CP115841.1	126114	127055	+	942	0	2	0	0	0	0
gene-G6L97_RS00615	NZ_CP115841.1	127190	127801	+	612	0	0	0	0	0	0
gene-G6L97_RS00620	NZ_CP115841.1	127875	128516	+	642	0	0	0	0	0	0
gene-G6L97_RS00625	NZ_CP115841.1	128543	129004	-	462	0	0	0	0	0	0
gene-G6L97_RS00630	NZ_CP115841.1	129105	129608	-	504	0	0	1	0	1	0
gene-G6L97_RS00635	NZ_CP115841.1	129659	132250	+	2592	0	0	0	0	0	0
gene-G6L97_RS00640	NZ_CP115841.1	132285	133013	+	729	0	0	0	0	0	0
gene-G6L97_RS00645	NZ_CP115841.1	133032	133469	-	438	5	3	5	9	8	30
gene-G6L97_RS00650	NZ_CP115841.1	133630	134454	-	825	0	0	0	0	0	0
gene-G6L97_RS00655	NZ_CP115841.1	134451	135377	-	927	0	0	0	0	0	0
gene-G6L97_RS00660	NZ_CP115841.1	135641	139414	-	3774	0	0	0	0	0	0
gene-G6L97_RS00665	NZ_CP115841.1	139791	141587	+	1797	0	0	18	1	6	23
gene-G6L97_RS00670	NZ_CP115841.1	141620	142828	+	1209	0	0	0	0	0	0
gene-G6L97_RS00675	NZ_CP115841.1	143016	145232	+	2217	0	0	0	0	0	0
gene-G6L97_RS00680	NZ_CP115841.1	145402	145824	+	423	0	0	0	0	0	0
gene-G6L97_RS00685	NZ_CP115841.1	146110	146185	+	76	1	0	0	2	3	0
gene-G6L97_RS00690	NZ_CP115841.1	146259	147341	-	1083	0	0	0	0	0	0
gene-G6L97_RS00695	NZ_CP115841.1	147341	147577	-	237	0	0	0	0	0	0
gene-G6L97_RS00700	NZ_CP115841.1	147579	148076	-	498	0	0	0	0	0	0
gene-G6L97_RS00705	NZ_CP115841.1	148073	148744	-	672	0	0	0	0	0	0
gene-G6L97_RS00710	NZ_CP115841.1	148788	148958	-	171	0	0	0	0	0	0
gene-G6L97_RS00715	NZ_CP115841.1	149056	149415	+	360	0	0	0	0	0	0
gene-G6L97_RS00720	NZ_CP115841.1	149799	150164	+	366	0	0	0	0	0	0
gene-G6L97_RS00725	NZ_CP115841.1	150462	150965	-	504	0	0	0	0	0	0
gene-G6L97_RS00730	NZ_CP115841.1	151016	151387	+	372	0	0	0	0	0	0
gene-G6L97_RS00735	NZ_CP115841.1	151552	152136	-	585	0	0	0	0	0	0
gene-G6L97_RS00740	NZ_CP115841.1	152133	153383	-	1251	0	0	0	0	0	0
gene-G6L97_RS00745	NZ_CP115841.1	153555	154589	-	1035	0	0	0	0	0	0
gene-G6L97_RS00750	NZ_CP115841.1	154596	154970	-	375	0	0	0	0	0	0
gene-G6L97_RS00755	NZ_CP115841.1	154983	156014	-	1032	0	0	0	0	0	0
gene-G6L97_RS00760	NZ_CP115841.1	156011	156532	-	522	0	0	0	0	0	0
gene-G6L97_RS00765	NZ_CP115841.1	156529	156876	-	348	0	0	0	0	0	0
gene-G6L97_RS00770	NZ_CP115841.1	156923	157435	-	513	0	0	0	0	0	0
gene-G6L97_RS00775	NZ_CP115841.1	158089	158787	-	699	0	0	0	0	0	0
gene-G6L97_RS00780	NZ_CP115841.1	159052	159396	-	345	0	0	0	0	0	0
gene-G6L97_RS00785	NZ_CP115841.1	159393	159674	-	282	0	0	0	0	0	0
gene-G6L97_RS00790	NZ_CP115841.1	159671	160159	-	489	0	0	0	0	0	0
gene-G6L97_RS00795	NZ_CP115841.1	160156	161802	-	1647	0	0	0	0	0	0
gene-G6L97_RS00800	NZ_CP115841.1	161799	162134	-	336	0	0	0	0	0	0
gene-G6L97_RS00805	NZ_CP115841.1	162134	165052	-	2919	0	0	0	0	0	0
gene-G6L97_RS00810	NZ_CP115841.1	165159	165536	-	378	0	0	0	0	0	0
gene-G6L97_RS00815	NZ_CP115841.1	166053	167648	+	1596	0	0	0	0	0	0
gene-G6L97_RS00820	NZ_CP115841.1	167648	167947	+	300	0	0	0	0	0	0
gene-G6L97_RS00825	NZ_CP115841.1	167944	168309	+	366	0	0	0	0	0	0
gene-G6L97_RS00830	NZ_CP115841.1	168326	170593	+	2268	17	28	8	0	5	3
gene-G6L97_RS00835	NZ_CP115841.1	170607	171515	+	909	2	12	8	0	1	0
gene-G6L97_RS00840	NZ_CP115841.1	171512	172567	+	1056	0	0	0	0	0	0
gene-G6L97_RS00845	NZ_CP115841.1	172567	172956	+	390	2	4	5	0	0	0
gene-G6L97_RS00850	NZ_CP115841.1	172953	173498	+	546	1	5	1	0	2	0
gene-G6L97_RS00855	NZ_CP115841.1	173513	173896	+	384	0	0	0	0	0	0
gene-G6L97_RS00860	NZ_CP115841.1	174028	175710	+	1683	0	0	0	0	0	0
gene-G6L97_RS00865	NZ_CP115841.1	176083	176814	+	732	0	0	0	0	0	0
gene-G6L97_RS00870	NZ_CP115841.1	176873	177574	+	702	0	0	0	0	0	0
gene-G6L97_RS00875	NZ_CP115841.1	177726	179573	+	1848	0	0	0	0	0	0
gene-G6L97_RS00880	NZ_CP115841.1	179629	183138	-	3510	0	0	0	0	0	0
gene-G6L97_RS00885	NZ_CP115841.1	183355	183783	+	429	0	0	0	0	0	0
gene-G6L97_RS00890	NZ_CP115841.1	183936	185102	+	1167	0	0	0	0	0	0
gene-G6L97_RS00895	NZ_CP115841.1	185429	186460	+	1032	0	0	0	0	0	0
gene-G6L97_RS00900	NZ_CP115841.1	186488	187309	-	822	0	0	0	0	0	0
gene-G6L97_RS00905	NZ_CP115841.1	187458	187685	-	228	0	0	0	0	0	0
gene-G6L97_RS00910	NZ_CP115841.1	187689	188312	-	624	0	0	0	0	0	0
gene-G6L97_RS00915	NZ_CP115841.1	188347	188565	-	219	76	113	17	61	28	0
gene-G6L97_RS00920	NZ_CP115841.1	188776	189264	-	489	0	0	0	0	0	0
gene-G6L97_RS00925	NZ_CP115841.1	189267	189740	-	474	0	0	0	0	0	0
gene-G6L97_RS00930	NZ_CP115841.1	189744	191042	-	1299	0	0	0	0	0	0
gene-G6L97_RS00935	NZ_CP115841.1	191174	191614	-	441	0	0	0	0	0	0
gene-G6L97_RS00940	NZ_CP115841.1	191730	193022	-	1293	2	3	4	14	2	3
gene-G6L97_RS00945	NZ_CP115841.1	193125	193391	-	267	0	0	0	0	0	0
gene-G6L97_RS00950	NZ_CP115841.1	193547	193621	+	75	0	0	0	0	0	0
gene-G6L97_RS00955	NZ_CP115841.1	193818	195155	-	1338	0	1	0	0	1	0
gene-G6L97_RS00960	NZ_CP115841.1	195418	196761	-	1344	0	0	0	0	0	0
gene-G6L97_RS00965	NZ_CP115841.1	197353	198363	-	1011	0	0	2	0	0	0
gene-G6L97_RS00970	NZ_CP115841.1	198736	199473	-	738	0	0	0	0	0	0
gene-G6L97_RS00975	NZ_CP115841.1	199470	199970	-	501	1	0	0	0	0	0
gene-G6L97_RS00980	NZ_CP115841.1	199999	200715	-	717	0	0	0	0	0	0
gene-G6L97_RS00985	NZ_CP115841.1	200712	201248	-	537	0	0	0	0	0	0
gene-G6L97_RS00990	NZ_CP115841.1	201245	202366	-	1122	1	4	7	0	2	5
gene-G6L97_RS00995	NZ_CP115841.1	202363	202851	-	489	0	0	0	0	0	0
gene-G6L97_RS01000	NZ_CP115841.1	202872	203660	-	789	0	9	6	0	0	0
gene-G6L97_RS01005	NZ_CP115841.1	203783	204118	-	336	0	0	0	0	0	0
gene-G6L97_RS01010	NZ_CP115841.1	204115	204534	-	420	0	0	0	0	0	0
gene-G6L97_RS01015	NZ_CP115841.1	204538	204930	-	393	5	15	3	2	1	0
gene-G6L97_RS01020	NZ_CP115841.1	205169	205741	-	573	0	0	0	0	0	0
gene-G6L97_RS01025	NZ_CP115841.1	205745	207151	-	1407	0	0	0	0	0	0
gene-G6L97_RS01030	NZ_CP115841.1	207163	207897	-	735	0	0	0	0	0	0
gene-G6L97_RS01035	NZ_CP115841.1	207899	208678	-	780	0	0	0	0	0	0
gene-G6L97_RS01040	NZ_CP115841.1	208863	209735	+	873	9	18	8	5	1	7
gene-G6L97_RS01045	NZ_CP115841.1	209732	210691	+	960	0	0	0	0	0	0
gene-G6L97_RS01050	NZ_CP115841.1	210756	211295	+	540	0	0	0	0	0	0
gene-G6L97_RS01055	NZ_CP115841.1	211323	212366	+	1044	9	15	11	0	0	0
gene-G6L97_RS01060	NZ_CP115841.1	212493	213575	+	1083	0	0	0	0	0	0
gene-G6L97_RS01065	NZ_CP115841.1	213581	214018	+	438	0	0	0	0	0	0
gene-G6L97_RS01070	NZ_CP115841.1	214325	215617	+	1293	0	0	0	0	0	0
gene-G6L97_RS01075	NZ_CP115841.1	215869	216519	+	651	0	0	0	0	0	0
gene-G6L97_RS01080	NZ_CP115841.1	216516	217799	+	1284	6	2	3	0	0	0
gene-G6L97_RS01085	NZ_CP115841.1	217796	219073	+	1278	0	0	0	0	0	0
gene-G6L97_RS01090	NZ_CP115841.1	219070	220425	+	1356	0	0	0	0	0	0
gene-G6L97_RS01095	NZ_CP115841.1	220373	220939	+	567	0	0	0	0	0	0
gene-G6L97_RS01100	NZ_CP115841.1	221222	221893	+	672	1	1	0	0	0	0
gene-G6L97_RS01105	NZ_CP115841.1	221998	223278	+	1281	9	9	14	3	3	9
gene-G6L97_RS01110	NZ_CP115841.1	223301	224779	+	1479	0	0	0	0	0	0
gene-G6L97_RS01115	NZ_CP115841.1	224783	225886	+	1104	0	0	0	0	0	0
gene-G6L97_RS01120	NZ_CP115841.1	225921	226265	+	345	0	0	0	0	0	1
gene-G6L97_RS01125	NZ_CP115841.1	226262	226711	+	450	0	0	0	0	0	0
gene-G6L97_RS01130	NZ_CP115841.1	226702	227172	+	471	0	0	0	0	0	0
gene-G6L97_RS01135	NZ_CP115841.1	227222	227488	+	267	0	0	0	0	0	0
gene-G6L97_RS01140	NZ_CP115841.1	227648	229735	+	2088	0	0	0	0	0	0
gene-G6L97_RS01145	NZ_CP115841.1	229732	230487	+	756	0	0	0	0	0	0
gene-G6L97_RS01150	NZ_CP115841.1	230503	230922	+	420	0	0	0	0	0	0
gene-G6L97_RS01155	NZ_CP115841.1	231038	231595	+	558	0	0	0	0	0	0
gene-G6L97_RS01160	NZ_CP115841.1	231625	231993	+	369	0	0	0	0	0	0
gene-G6L97_RS01165	NZ_CP115841.1	231993	232529	+	537	0	0	0	0	0	0
gene-G6L97_RS01170	NZ_CP115841.1	232707	233381	+	675	0	0	0	0	0	0
gene-G6L97_RS01175	NZ_CP115841.1	233495	235270	+	1776	0	0	0	0	0	0
gene-G6L97_RS01180	NZ_CP115841.1	235348	236247	+	900	0	0	0	0	0	0
gene-G6L97_RS01185	NZ_CP115841.1	236257	237282	-	1026	0	0	0	0	0	0
gene-G6L97_RS01190	NZ_CP115841.1	237558	238919	+	1362	0	0	0	0	0	0
gene-G6L97_RS01195	NZ_CP115841.1	239026	240039	+	1014	0	0	0	0	0	0
gene-G6L97_RS01200	NZ_CP115841.1	240041	241201	+	1161	0	1	1	0	5	0
gene-G6L97_RS01205	NZ_CP115841.1	241238	242893	+	1656	0	0	0	0	0	0
gene-G6L97_RS01210	NZ_CP115841.1	242915	244003	+	1089	1	3	1	0	1	1
gene-G6L97_RS01215	NZ_CP115841.1	244257	244613	+	357	0	0	0	0	0	0
gene-G6L97_RS01220	NZ_CP115841.1	244635	245999	-	1365	0	0	0	0	0	0
gene-G6L97_RS01225	NZ_CP115841.1	246193	248013	-	1821	0	0	0	0	0	0
gene-G6L97_RS01230	NZ_CP115841.1	248137	248835	-	699	0	0	0	0	0	0
gene-G6L97_RS01235	NZ_CP115841.1	248846	250321	-	1476	0	0	1	0	0	0
gene-G6L97_RS01240	NZ_CP115841.1	250459	250809	-	351	0	0	0	0	0	0
gene-G6L97_RS01245	NZ_CP115841.1	250836	252122	-	1287	0	0	0	0	0	0
gene-G6L97_RS01250	NZ_CP115841.1	252133	253569	-	1437	0	0	0	0	0	0
gene-G6L97_RS01255	NZ_CP115841.1	253699	254880	+	1182	0	0	0	0	0	0
gene-G6L97_RS01260	NZ_CP115841.1	254990	255337	-	348	0	2	2	0	0	0
gene-G6L97_RS01265	NZ_CP115841.1	255421	256293	+	873	0	0	0	0	0	0
gene-G6L97_RS01270	NZ_CP115841.1	256300	256557	-	258	0	0	0	0	0	0
gene-G6L97_RS01275	NZ_CP115841.1	256641	257930	-	1290	0	0	0	0	0	0
gene-G6L97_RS01280	NZ_CP115841.1	258185	259600	+	1416	0	0	0	0	0	0
gene-G6L97_RS01285	NZ_CP115841.1	259752	260849	+	1098	0	0	0	0	0	0
gene-G6L97_RS01290	NZ_CP115841.1	261029	262186	+	1158	0	0	0	0	0	0
gene-G6L97_RS01295	NZ_CP115841.1	262198	263106	+	909	0	0	0	0	0	0
gene-G6L97_RS01300	NZ_CP115841.1	263111	263923	+	813	0	0	0	0	0	0
gene-G6L97_RS01305	NZ_CP115841.1	264235	265893	-	1659	0	0	0	0	0	0
gene-G6L97_RS01310	NZ_CP115841.1	265979	269722	-	3744	0	0	0	0	0	0
gene-G6L97_RS01315	NZ_CP115841.1	270084	270160	+	77	0	0	0	0	0	0
gene-G6L97_RS01320	NZ_CP115841.1	270327	271958	+	1632	6	13	1	2	4	5
gene-G6L97_RS01325	NZ_CP115841.1	271955	272695	+	741	0	0	0	0	0	1
gene-G6L97_RS01330	NZ_CP115841.1	272696	274093	-	1398	0	0	0	0	0	0
gene-G6L97_RS01335	NZ_CP115841.1	274287	275288	+	1002	0	0	0	0	0	0
gene-G6L97_RS01340	NZ_CP115841.1	275573	277078	+	1506	13	16	1	20	12	1
gene-G6L97_RS01345	NZ_CP115841.1	277193	277594	+	402	0	0	0	0	0	0
gene-G6L97_RS01350	NZ_CP115841.1	277744	278772	+	1029	0	0	0	0	0	0
gene-G6L97_RS01355	NZ_CP115841.1	278883	279761	+	879	0	0	0	0	0	0
gene-G6L97_RS01360	NZ_CP115841.1	279806	280351	-	546	0	0	0	0	0	0
gene-G6L97_RS01365	NZ_CP115841.1	280378	281262	-	885	0	0	0	0	0	0
gene-G6L97_RS01370	NZ_CP115841.1	281269	283113	-	1845	3	4	0	3	2	0
gene-G6L97_RS01375	NZ_CP115841.1	283305	284321	-	1017	3	4	3	7	1	8
gene-G6L97_RS01380	NZ_CP115841.1	284433	284663	+	231	0	0	0	0	0	0
gene-G6L97_RS01385	NZ_CP115841.1	284670	285470	+	801	0	0	0	0	0	0
gene-G6L97_RS01390	NZ_CP115841.1	285558	286427	+	870	0	0	0	0	0	0
gene-G6L97_RS01395	NZ_CP115841.1	286448	286642	+	195	0	0	0	0	0	0
gene-G6L97_RS01400	NZ_CP115841.1	286743	287705	+	963	0	0	1	0	0	0
gene-G6L97_RS01405	NZ_CP115841.1	287784	288335	+	552	1	0	5	1	0	0
gene-G6L97_RS01410	NZ_CP115841.1	288420	289697	+	1278	0	0	0	0	0	0
gene-G6L97_RS01415	NZ_CP115841.1	289721	291658	+	1938	1	0	5	0	0	2
gene-G6L97_RS01420	NZ_CP115841.1	291757	293910	+	2154	12	15	12	17	27	12
gene-G6L97_RS01425	NZ_CP115841.1	294141	294635	+	495	0	0	0	0	0	0
gene-G6L97_RS01430	NZ_CP115841.1	294695	296518	-	1824	0	0	0	0	0	0
gene-G6L97_RS01435	NZ_CP115841.1	296846	297358	-	513	0	0	0	0	0	0
gene-G6L97_RS01440	NZ_CP115841.1	297516	298787	-	1272	0	0	0	0	0	0
gene-G6L97_RS01445	NZ_CP115841.1	298989	301313	+	2325	0	0	0	0	0	0
gene-G6L97_RS01450	NZ_CP115841.1	301481	302737	+	1257	0	0	0	1	0	0
gene-G6L97_RS01455	NZ_CP115841.1	302971	303771	+	801	0	0	0	0	0	0
